Year,State,id,code,Area,Area Population,State Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Total Crimes
2013,Arizona,4,AZ,NMC,225339,6626624,389,1,13,12,363,2098,741,1168,189,5326
2013,Arkansas,5,AR,MSA,1803197,2959373,9872,101,928,1865,6978,71483,18856,48636,3991,171694
2013,Arkansas,5,AR,OMA,509967,2959373,2382,27,294,342,1719,22416,7402,14176,838,54616
2013,Arkansas,5,AR,NMC,646209,2959373,1367,31,201,51,1084,12714,4227,7638,849,31022
2013,California,6,CA,MSA,37497856,38332521,150459,1711,9349,53247,86152,998514,225576,609857,163081,2373063
2013,California,6,CA,OMA,271108,38332521,1661,15,141,244,1261,10846,2848,7146,852,26201
2013,California,6,CA,NMC,563557,38332521,2009,20,224,149,1616,9547,3634,4554,1359,24737
2013,Colorado,8,CO,MSA,4578645,5268367,14979,156,2651,3085,9087,128078,22972,93108,11998,294107
2013,Colorado,8,CO,OMA,327070,5268367,809,15,187,57,550,9047,1359,7353,335,20262
2013,Colorado,8,CO,NMC,362652,5268367,438,7,96,9,326,2932,750,1982,200,7052
2013,Connecticut,9,CT,MSA,2942348,3596080,8879,80,842,3456,4501,64527,11328,47504,5695,149261
2013,Connecticut,9,CT,OMA,116380,3596080,148,0,31,21,96,2071,297,1659,115,4587
2013,Connecticut,9,CT,NMC,537352,3596080,413,6,82,53,272,4392,1267,2713,412,10464
2013,Delaware,10,DE,MSA,925749,925749,4547,39,379,1226,2903,28378,6131,20915,1332,67434
2013,Delaware,10,DE,OMA,0,925749,0,0,0,0,0,0,0,0,0,0
2013,Delaware,10,DE,NMC,0,925749,2,0,1,0,1,1,0,1,0,4
2013,District of Columbia,11,DC,MSA,646449,646449,8406,103,395,4078,3830,31083,3316,24533,3234,73888
2013,District of Columbia,11,DC,OMA,0,646449,0,0,0,0,0,0,0,0,0,0
2013,District of Columbia,11,DC,NMC,0,646449,8406,103,395,4078,3830,31083,3316,24533,3234,73888
2013,Florida,12,FL,MSA,18847207,19552860,88501,936,6543,22839,58183,589069,133415,421479,34175,1400054
2013,Florida,12,FL,OMA,147373,19552860,1158,9,55,192,902,6742,1585,4881,276,16227
2013,Florida,12,FL,NMC,558280,19552860,2327,27,162,169,1969,11361,3916,6984,461,28965
2013,Georgia,13,GA,MSA,8216901,9992167,30818,480,2154,11511,16673,280934,68678,187372,24884,661364
2013,Georgia,13,GA,OMA,662073,9992167,3428,39,256,762,2371,32025,7073,24152,800,74551
2013,Georgia,13,GA,NMC,1113193,9992167,2295,37,172,215,1871,21440,6507,13791,1142,51682
2013,Hawaii,15,HI,MSA,1144335,1404054,2849,12,273,1011,1553,35149,5661,26292,3196,78808
2013,Hawaii,15,HI,OMA,0,1404054,0,0,0,0,0,0,0,0,0,0
2013,Hawaii,15,HI,NMC,259719,1404054,684,9,112,120,443,7726,1872,5366,488,18008
2013,Idaho,16,ID,MSA,1066771,1612136,2440,13,474,178,1775,21391,4411,15897,1083,49633
2013,Idaho,16,ID,OMA,248535,1612136,581,6,98,30,447,5413,1113,4078,222,12520
2013,Idaho,16,ID,NMC,296830,1612136,477,8,83,12,374,3251,1116,1904,231,8095
2013,Illinois,17,IL,MSA,11373567,12882135,45763,680,3737,17502,23844,266888,51966,194673,20249,631505
2013,Illinois,17,IL,OMA,830759,12882135,2458,22,412,192,1832,19834,4298,15077,459,46424
2013,Illinois,17,IL,NMC,677809,12882135,753,4,114,28,607,6261,1973,4063,225,15248
2013,Indiana,18,IN,MSA,5094468,6570902,21194,319,1852,6924,12099,160115,36980,110263,12872,378404
2013,Indiana,18,IN,OMA,520960,6570902,1137,13,159,124,841,17615,2911,13902,802,39278
2013,Indiana,18,IN,NMC,955474,6570902,1156,23,131,60,942,9806,3018,6258,530,23786
2013,Iowa,19,IA,MSA,1797551,3090416,5653,28,723,822,4080,47750,10428,34161,3161,111581
2013,Iowa,19,IA,OMA,601851,3090416,2119,7,270,106,1736,15341,3568,11048,725,36369
2013,Iowa,19,IA,NMC,691014,3090416,616,8,90,11,507,4709,1872,2477,360,11906
2013,Kansas,20,KS,MSA,1936336,2893957,7039,79,784,1164,5012,61380,11502,44438,5440,141301
2013,Kansas,20,KS,OMA,619820,2893957,2103,16,312,171,1604,18793,4010,13925,858,43699
2013,Kansas,20,KS,NMC,337801,2893957,696,17,99,15,565,5107,1863,2901,343,12773
2013,Kentucky,21,KY,MSA,2555209,4395295,6825,95,851,2744,3135,76446,17680,54258,4508,177397
2013,Kentucky,21,KY,OMA,534280,4395295,955,11,176,328,440,15417,3175,11675,567,34964
2013,Kentucky,21,KY,NMC,1305806,4395295,1442,61,584,174,623,11994,5358,5679,957,30788
2013,Louisiana,22,LA,MSA,3853803,4625470,20088,456,1284,5087,13261,142744,35385,99191,8168,340961
2013,Louisiana,22,LA,OMA,278847,4625470,2126,24,134,364,1604,13738,3435,9926,377,33037
2013,Louisiana,22,LA,NMC,492820,4625470,1770,18,201,97,1454,9204,2364,6225,615,22542
2013,Maine,23,ME,MSA,779976,1328302,1081,13,250,270,548,19044,3785,14734,525,42954
2013,Maine,23,ME,OMA,267901,1328302,407,3,117,50,237,7590,1408,5980,202,16995
2013,Maine,23,ME,NMC,280425,1328302,230,8,80,15,127,3813,1290,2336,187,9146
2013,Maryland,24,MD,MSA,5775247,5928814,27579,380,1499,9960,15740,154451,31049,110069,13333,367530
2013,Maryland,24,MD,OMA,53189,5928814,278,0,13,71,194,1716,313,1382,21,4023
